CD0,F/F01,F/F02,F/F03
0,1,1,1
1,0.922048997772829,0.976515151515152,1.149377593361
1.5,0.940608760207869,0.975757575757576,1.03817427385892
3.125,1.03118040089087,1.02954545454545,1.26970954356846
6.25,1.12769116555308,1.25227272727273,1.35269709543568
12.5,1.32145508537491,1.33030303030303,1.55601659751037
25,1.92353377876763,1.85151515151515,2.07966804979253
50,2.24498886414254,2.32878787878788,2.53941908713693
75,2.48849294729027,2.68560606060606,2.93195020746888
150,3.11210096510765,3.25,3.56680497925311
